Divisions,Station,Garda,Sergt,Insp,Superintendent,chief_superintendent,Assistant_Commissioner,Grand Total,Year
CAVAN / MONAGHAN,BAILIEBORO,27,8,1,1,,,37,2013
CAVAN / MONAGHAN,BALLYJAMESDUFF,2,1,,,,,3,2013
CAVAN / MONAGHAN,COOTEHILL,6,1,,,,,7,2013
CAVAN / MONAGHAN,KINGSCOURT,2,1,,,,,3,2013
CAVAN / MONAGHAN,MULLAGH,1,,,,,,1,2013
CAVAN / MONAGHAN,SHERCOCK,1,,,,,,1,2013
CAVAN / MONAGHAN,VIRGINIA,10,2,,,,,12,2013
CAVAN / MONAGHAN,BALLYBAY,3,1,,,,,4,2013
CAVAN / MONAGHAN,CARRICKMACROSS,33,10,1,1,,,45,2013
CAVAN / MONAGHAN,CASTLEBLANEY,22,3,,,,,25,2013
CAVAN / MONAGHAN,ROCKCORRY,2,,,,,,2,2013
CAVAN / MONAGHAN,ARVA,2,1,,,,,3,2013
CAVAN / MONAGHAN,BALLINAGH,1,1,,,,,2,2013
CAVAN / MONAGHAN,BALLYCONNELL,16,3,,,,,19,2013
CAVAN / MONAGHAN,BELTURBET,4,1,,,,,5,2013
CAVAN / MONAGHAN,BLACKLION,2,1,,,,,3,2013
CAVAN / MONAGHAN,CAVAN,51,7,1,1,,,60,2013
CAVAN / MONAGHAN,DOWRA,1,,,,,,1,2013
CAVAN / MONAGHAN,KILLESHANDRA,1,,,,,,1,2013
CAVAN / MONAGHAN,KILNALECK,3,1,,,,,4,2013
CAVAN / MONAGHAN,SWANLINBAR,1,,,,,,1,2013
CAVAN / MONAGHAN,CLONES,5,1,,,,,6,2013
CAVAN / MONAGHAN,EMYVALE,3,,,,,,3,2013
CAVAN / MONAGHAN,MONAGHAN,61,15,2,2,1,,81,2013
CAVAN / MONAGHAN,SCOTSTOWN,1,1,,,,,2,2013
CLARE,CRUSHEEN,1,,,,,,1,2013
CLARE,ENNIS,94,15,2,1,1,,113,2013
CLARE,IMMIGRATION OFFICE,5,,,,,,5,2013
CLARE,KILLALOE,27,3,1,,,,31,2013
CLARE,LISSYCASEY,1,,,,,,1,2013
CLARE,NEWMARKET ON FERGUS,3,,,,,,3,2013
CLARE,SCARIFF,3,1,,,,,4,2013
CLARE,SHANNON,52,8,1,,,,61,2013
CLARE,SIXMILEBRIDGE,3,1,,,,,4,2013
CLARE,TULLA,2,,,,,,2,2013
CLARE,BALLYVAUGHAN,1,,,,,,1,2013
CLARE,COROFIN,1,,,,,,1,2013
CLARE,ENNISTYMON,24,2,,,,,26,2013
CLARE,KILDYSART,1,,,,,,1,2013
