Divisions,Station,Garda,Sergt,Insp,Superintendent,chief_superintendent,Assistant_Commissioner,Grand Total,Year
CLARE,KILKEE,2,,,,,,2,2013
CLARE,KILRUSH,27,4,,1,,,32,2013
CLARE,LISDOONVARNA,1,,,,,,1,2013
CLARE,MILTOWN MALBAY,2,,,,,,2,2013
CORK CITY,ANGLESEA STREET,218,46,9,3,1,1,278,2013
CORK CITY,BLACKROCK,27,4,,,,,31,2013
CORK CITY,BRIDEWELL,25,6,,,,,31,2013
CORK CITY,BALLINCOLLIG,20,3,,,,,23,2013
CORK CITY,BLARNEY,15,2,,,,,17,2013
CORK CITY,CARRIG NA BHFEAR,1,,,,,,1,2013
CORK CITY,GURRANABRAHER,46,7,1,1,,,55,2013
CORK CITY,GLANMIRE,18,3,,,,,21,2013
CORK CITY,MAYFIELD,43,6,1,1,,,51,2013
CORK CITY,WATERCOURSE ROAD,44,8,,,,,52,2013
CORK CITY,BISHOPSTOWN,18,3,,,,,21,2013
CORK CITY,CARRIGALINE,19,2,,,,,21,2013
CORK CITY,CROSSHAVEN,2,1,,,,,3,2013
CORK CITY,DOUGLAS,19,5,,,,,24,2013
CORK CITY,PASSAGE WEST,2,1,,,,,3,2013
CORK CITY,TOGHER,42,7,1,1,,,51,2013
CORK NORTH,BALLYNOE,1,,,,,,1,2013
CORK NORTH,CASTLETOWNROCHE,2,,,,,,2,2013
CORK NORTH,FERMOY,44,10,1,1,1,,57,2013
CORK NORTH,KILDORRERY,1,,,,,,1,2013
CORK NORTH,KILWORTH,1,,,,,,1,2013
CORK NORTH,MITCHELSTOWN,18,3,,,,,21,2013
CORK NORTH,RATHCORMAC,2,,,,,,2,2013
CORK NORTH,WATERGRASSHILL,1,,,,,,1,2013
CORK NORTH,BUTTEVANT,1,,,,,,1,2013
CORK NORTH,CHARLEVILLE,17,2,,,,,19,2013
CORK NORTH,DONERAILE,1,,,,,,1,2013
CORK NORTH,GLANTAINE,1,,,,,,1,2013
CORK NORTH,KANTURK,22,2,,,,,24,2013
CORK NORTH,LISCARROLL,1,,,,,,1,2013
CORK NORTH,MALLOW,40,7,1,1,,,49,2013
CORK NORTH,MILFORD,2,,,,,,2,2013
CORK NORTH,NEWMARKET,1,1,,,,,2,2013
CORK NORTH,BALLYCOTTON,1,,,,,,1,2013
CORK NORTH,CARRIGTWOHILL,1,1,,,,,2,2013
CORK NORTH,CLOYNE,1,,,,,,1,2013
CORK NORTH,COBH,28,6,,,,,34,2013
CORK NORTH,KILLEAGH,1,,,,,,1,2013
CORK NORTH,MIDLETON,40,8,2,1,,,51,2013
CORK NORTH,WHITEGATE,1,,,,,,1,2013
CORK NORTH,YOUGHAL,18,5,,,,,23,2013
CORK WEST,BALLINEEN,2,,,,,,2,2013
CORK WEST,BALLINHASSIG,2,,,,,,2,2013
CORK WEST,BANDON,66,12,3,1,1,,83,2013
CORK WEST,INNISHANNON,1,,,,,,1,2013
CORK WEST,KILBRITTAIN,1,,,,,,1,2013
CORK WEST,KINSALE,12,3,,,,,15,2013
CORK WEST,TIMOLEAGUE,1,,,,,,1,2013
CORK WEST,BANTRY,28,4,,1,,,33,2013
CORK WEST,CASTLETOWNBERE,4,1,,,,,5,2013
CORK WEST,DRIMOLEAGUE,1,,,,,,1,2013
CORK WEST,DURRUS,1,,,,,,1,2013
CORK WEST,GLENGARRIFF,1,,,,,,1,2013
CORK WEST,KEALKIL,1,,,,,,1,2013
CORK WEST,SCHULL,3,1,,,,,4,2013
CORK WEST,BALTIMORE,1,,,,,,1,2013
CORK WEST,CLONAKILTY,24,3,1,1,,,29,2013
CORK WEST,DRINAGH,1,,,,,,1,2013
CORK WEST,DUNMANWAY,9,1,,,,,10,2013
CORK WEST,ROSSCARBERY,1,,,,,,1,2013
CORK WEST,SKIBBEREEN,10,2,,,,,12,2013
CORK WEST,BAILE BHUIRNE,2,1,,,,,3,2013
CORK WEST,BEAL ATHA AN GHAORTHA,2,,,,,,2,2013
CORK WEST,BOHERBUE,1,,,,,,1,2013
CORK WEST,COACHFORD,1,,,,,,1,2013
CORK WEST,CROOKSTOWN,4,1,,,,,5,2013
CORK WEST,MACROOM,32,8,,1,,,41,2013
CORK WEST,MILLSTREET,11,2,,,,,13,2013
CORK WEST,RATHMORE,2,,,,,,2,2013
CORK WEST,STUAKE,1,,,,,,1,2013
CORK WEST,TARELTON,1,,,,,,1,2013
D.M.R. EAST,BLACKROCK,75,12,2,1,,,90,2013
D.M.R. EAST,DUNDRUM,90,9,1,,,,100,2013
D.M.R. EAST,CABINTEELY,41,4,1,,,,46,2013
D.M.R. EAST,DUN LAOGHAIRE,81,17,4,2,1,,105,2013
D.M.R. EAST,SHANKILL,59,7,,,,,66,2013
D.M.R. NORTH,BALBRIGGAN,54,8,1,1,,,64,2013
D.M.R. NORTH,GARRISTOWN,2,,,,,,2,2013
D.M.R. NORTH,LUSK,9,1,,,,,10,2013
D.M.R. NORTH,SKERRIES,9,1,,,,,10,2013
D.M.R. NORTH,BALLYMUN,94,18,3,2,1,,118,2013
D.M.R. NORTH,DUBLIN AIRPORT,24,2,,,,,26,2013
D.M.R. NORTH,SANTRY,82,12,1,,,,95,2013
D.M.R. NORTH,COOLOCK,94,13,4,1,,,112,2013
D.M.R. NORTH,MALAHIDE,31,3,,,,,34,2013
D.M.R. NORTH,SWORDS,62,11,1,,,,74,2013
D.M.R. NORTH,CLONTARF,63,5,1,,,,69,2013
D.M.R. NORTH,HOWTH,33,4,1,,,,38,2013
D.M.R. NORTH,RAHENY,51,8,2,1,,,62,2013
D.M.R. NORTH CENTRAL,BRIDEWELL,131,30,6,1,,,168,2013
D.M.R. NORTH CENTRAL,MOUNTJOY,173,19,4,1,,,197,2013
D.M.R. NORTH CENTRAL,IMMIGRATION D/DOCKS,3,,,,,,3,2013
D.M.R. NORTH CENTRAL,STORE STREET,218,32,3,2,1,,256,2013
D.M.R. SOUTH,CRUMLIN,71,18,5,2,1,,97,2013
D.M.R. SOUTH,SUNDRIVE ROAD,57,9,,,,,66,2013
D.M.R. SOUTH,RATHFARNHAM,68,9,1,,,,78,2013
D.M.R. SOUTH,TALLAGHT,152,18,3,1,,,174,2013
D.M.R. SOUTH,RATHMINES,54,4,,,,,58,2013
D.M.R. SOUTH,TERENURE,78,14,3,1,,,96,2013
D.M.R. SOUTH CENTRAL,DONNYBROOK,103,13,3,1,,,120,2013
D.M.R. SOUTH CENTRAL,IRISHTOWN,43,5,1,,,,49,2013
D.M.R. SOUTH CENTRAL,KEVIN STREET,114,17,3,1,,,135,2013
D.M.R. SOUTH CENTRAL,KILMAINHAM,66,12,1,,,,79,2013
D.M.R. SOUTH CENTRAL,PEARSE STREET,259,36,5,2,1,,303,2013
D.M.R. WEST,BLANCHARDSTOWN,134,21,4,2,1,,162,2013
D.M.R. WEST,CABRA,72,10,1,,,,83,2013
D.M.R. WEST,FINGLAS,95,11,2,,,,108,2013
D.M.R. WEST,BALLYFERMOT,76,9,2,,,,87,2013
D.M.R. WEST,CLONDALKIN,77,10,3,1,,,91,2013
D.M.R. WEST,RATHCOOLE,22,1,,,,,23,2013
D.M.R. WEST,LUCAN,60,7,4,1,,,72,2013
D.M.R. WEST,RONANSTOWN,77,13,1,,,,91,2013
DONEGAL,AN CHARRAIG,1,1,,,,,2,2013
DONEGAL,ARD AN RATHA,1,,,,,,1,2013
DONEGAL,BALLINTRA,1,,,,,,1,2013
DONEGAL,BALLYSHANNON,38,7,1,2,,,48,2013
DONEGAL,BUNDORAN,5,1,,,,,6,2013
DONEGAL,DONEGAL TOWN,24,5,,,,,29,2013
DONEGAL,MOUNTCHARLES,1,,,,,,1,2013
DONEGAL,NA CEALLA BEAGA,5,1,,,,,6,2013
DONEGAL,NA GLEANNTA,13,3,,,,,16,2013
DONEGAL,PETTIGO,1,,,,,,1,2013
DONEGAL,BUNCRANA,42,6,1,1,,,50,2013
DONEGAL,BURNFOOT,4,1,,,,,5,2013
DONEGAL,CARNDONAGH,4,1,,,,,5,2013
DONEGAL,CLONMANY,1,,,,,,1,2013
DONEGAL,MOVILLE,4,,,,,,4,2013
DONEGAL,MUFF,3,1,,,,,4,2013
DONEGAL,BALLYBOFEY,23,2,,,,,25,2013
DONEGAL,CARRIGANS,2,,,,,,2,2013
DONEGAL,CASTLEFIN,3,1,,,,,4,2013
DONEGAL,CONVOY,2,1,,,,,3,2013
DONEGAL,LETTERKENNY,83,14,4,1,1,,103,2013
DONEGAL,LIFFORD,12,2,,,,,14,2013
DONEGAL,NEWTOWNCUNNINGHAM,2,,,,,,2,2013
DONEGAL,RAPHOE,3,,,,,,3,2013
DONEGAL,AILT AN CHORRAIN,1,,,,,,1,2013
DONEGAL,AN BUN BEAG,15,2,,,,,17,2013
DONEGAL,AN CLOCHAN LIATH,6,1,,,,,7,2013
DONEGAL,AN CRAOSLACH,1,,,,,,1,2013
DONEGAL,AN FAL CARRACH,8,1,,,,,9,2013
DONEGAL,CARRAIG AIRT,2,,,,,,2,2013
DONEGAL,DUN FIONNACHAID,2,,,,,,2,2013
DONEGAL,KERRYKEEL,2,1,,,,,3,2013
DONEGAL,KILMACRENNAN,1,,,,,,1,2013
DONEGAL,MILFORD,25,2,,,,,27,2013
DONEGAL,RAMELTON,2,,,,,,2,2013
DONEGAL,RATHMULLEN,1,,,,,,1,2013
GALWAY,AHASCRAGH,1,,,,,,1,2013
GALWAY,BALLINASLOE,34,7,1,1,,,43,2013
GALWAY,BALLYGAR,2,,,,,,2,2013
GALWAY,CREGGS,1,,,,,,1,2013
GALWAY,KILCONNELL,1,,,,,,1,2013
GALWAY,MOUNT BELLEW,6,2,,,,,8,2013
GALWAY,MOYLOUGH,1,,,,,,1,2013
GALWAY,AN MAM,3,,,,,,3,2013
GALWAY,CARNA,1,1,,,,,2,2013
GALWAY,CLIFDEN,22,3,,,,,25,2013
GALWAY,CLOCH NA RON,1,,,,,,1,2013
GALWAY,LETTERFRACK,1,,,,,,1,2013
GALWAY,SRAITH SALACH,1,,,,,,1,2013
GALWAY,ATHENRY,5,1,,,,,6,2013
GALWAY,GAILLIMH,174,28,6,3,1,1,213,2013
GALWAY,LOUGH GEORGE,3,1,,,,,4,2013
GALWAY,MONIVEA,1,,,,,,1,2013
GALWAY,ORAN MOR,32,3,,,,,35,2013
GALWAY,ARDRAHAN,1,,,,,,1,2013
GALWAY,CRAUGHWELL,4,,,,,,4,2013
GALWAY,EYRECOURT,1,,,,,,1,2013
GALWAY,GORT,26,2,,,,,28,2013
GALWAY,KILLIMOR,1,,,,,,1,2013
GALWAY,KILRICKLE,1,,,,,,1,2013
GALWAY,KINVARA,1,1,,,,,2,2013
GALWAY,LOUGHREA,32,5,1,1,,,39,2013
GALWAY,PORTUMNA,6,2,,,,,8,2013
GALWAY,WOODFORD,1,,,,,,1,2013
GALWAY,AN CHEATHRU RUA,5,1,,,,,6,2013
GALWAY,AN SPIDEAL,2,,,,,,2,2013
GALWAY,CILL RONAIN,2,,,,,,2,2013
GALWAY,INDREABHAN,1,,,,,,1,2013
GALWAY,LEITIR MOIR,1,,,,,,1,2013
GALWAY,MAIGH CUILINN,2,,,,,,2,2013
GALWAY,ROS MUC,1,,,,,,1,2013
GALWAY,SALTHILL,44,6,1,1,,,52,2013
GALWAY,UACHTARARD,4,1,,,,,5,2013
GALWAY,BARNADERG,1,,,,,,1,2013
GALWAY,COROFIN,1,1,,,,,2,2013
GALWAY,DUNMORE,4,2,,,,,6,2013
GALWAY,GLENAMADDY,1,,,,,,1,2013
GALWAY,HEADFORD,2,,,,,,2,2013
GALWAY,TUAM,45,7,1,1,,,54,2013
GALWAY,WILLIAMSTOWN,1,,,,,,1,2013
KERRY,CAHERCIVEEN,17,3,,,,,20,2013
KERRY,GLENBEIGH,1,,,,,,1,2013
KERRY,KENMARE,11,1,,,,,12,2013
KERRY,KILLARNEY,47,7,1,1,,,56,2013
KERRY,KILLORGLIN,10,1,,,,,11,2013
KERRY,PORTMAGEE,1,,,,,,1,2013
KERRY,SNEEM,1,,,,,,1,2013
KERRY,WATERVILLE,1,,,,,,1,2013
KERRY,BALLYBUNION,5,1,,,,,6,2013
KERRY,BALLYDUFF,1,,,,,,1,2013
KERRY,BALLYHEIGUE,1,,,,,,1,2013
KERRY,KNOCKNAGOSHALL,1,,,,,,1,2013
KERRY,LISTOWEL,32,7,,1,,,40,2013
KERRY,LIXNAW,1,,,,,,1,2013
KERRY,TARBERT,1,,,,,,1,2013
KERRY,AN DAINGEAN,8,2,,,,,10,2013
KERRY,ANNASCAUL,1,,,,,,1,2013
KERRY,ARDFERT,2,,,,,,2,2013
KERRY,BAILE AN FHEIRTEARAIG,1,,,,,,1,2013
KERRY,CASTLEGREGORY,2,,,,,,2,2013
KERRY,CASTLEISLAND,27,5,1,,,,33,2013
KERRY,CASTLEMAINE,1,,,,,,1,2013
KERRY,FARRANFORE,2,,,,,,2,2013
KERRY,TRALEE,71,15,2,1,1,,90,2013
KILDARE,ATHY,27,5,,,,,32,2013
KILDARE,CASTLEDERMOT,3,1,,,,,4,2013
KILDARE,KILDARE,22,5,1,1,,,29,2013
KILDARE,MONASTEREVIN,3,1,,,,,4,2013
KILDARE,NEWBRIDGE,42,7,,,,,49,2013
KILDARE,RATHANGAN,3,,,,,,3,2013
KILDARE,CARBURY,5,1,,,,,6,2013
KILDARE,CELBRIDGE,12,2,,,,,14,2013
KILDARE,KILCOCK,8,1,,,,,9,2013
KILDARE,LEIXLIP,31,5,1,1,,,38,2013
KILDARE,MAYNOOTH,11,2,,,,,13,2013
KILDARE,CLANE,7,1,,,,,8,2013
KILDARE,KILCULLEN,4,,,,,,4,2013
KILDARE,NAAS,81,15,2,1,1,,100,2013
KILDARE,ROBERTSTOWN,2,,,,,,2,2013
KILKENNY/CARLOW,BALLON,1,,,,,,1,2013
KILKENNY/CARLOW,BORRIS,2,,,,,,2,2013
KILKENNY/CARLOW,CARLOW,60,9,1,1,,,71,2013
KILKENNY/CARLOW,HACKETSTOWN,1,,,,,,1,2013
KILKENNY/CARLOW,MUINEBHEAG,11,3,,,,,14,2013
KILKENNY/CARLOW,MYSHALL,1,,,,,,1,2013
KILKENNY/CARLOW,RATHVILLY,1,,,,,,1,2013
KILKENNY/CARLOW,TULLOW,15,2,,,,,17,2013
KILKENNY/CARLOW,CALLAN,6,1,,,,,7,2013
KILKENNY/CARLOW,CASTLECOMER,9,3,,,,,12,2013
KILKENNY/CARLOW,FRESHFORD,1,,,,,,1,2013
KILKENNY/CARLOW,KILKENNY,79,14,4,2,1,1,101,2013
KILKENNY/CARLOW,URLINGFORD,2,,,,,,2,2013
KILKENNY/CARLOW,BENNETSBRIDGE,1,,,,,,1,2013
KILKENNY/CARLOW,GLENMORE,1,,,,,,1,2013
KILKENNY/CARLOW,GORESBRIDGE,2,,,,,,2,2013
KILKENNY/CARLOW,GRAIGUENAMANAGH,4,,,,,,4,2013
KILKENNY/CARLOW,KILMACOW,1,,,,,,1,2013
KILKENNY/CARLOW,KILMOGANNY,1,,,,,,1,2013
KILKENNY/CARLOW,MOONCOIN,10,2,,,,,12,2013
KILKENNY/CARLOW,MULLINAVAT,2,,,,,,2,2013
KILKENNY/CARLOW,PILTOWN,1,,,,,,1,2013
KILKENNY/CARLOW,THOMASTOWN,28,3,1,1,,,33,2013
LAOIS / OFFALY,BANAGHER,4,1,,,,,5,2013
LAOIS / OFFALY,BIRR,23,5,,1,,,29,2013
LAOIS / OFFALY,CLOGHAN,1,,,,,,1,2013
LAOIS / OFFALY,FERBANE,5,1,,,,,6,2013
LAOIS / OFFALY,KILCORMAC,2,,,,,,2,2013
LAOIS / OFFALY,KINNITTY,1,,,,,,1,2013
LAOIS / OFFALY,SHINRONE,1,,,,,,1,2013
LAOIS / OFFALY,ABBEYLEIX,15,3,,,,,18,2013
LAOIS / OFFALY,ARLES,2,,,,,,2,2013
LAOIS / OFFALY,BALLYLINAN,2,,,,,,2,2013
LAOIS / OFFALY,BORRIS-IN-OSSORY,1,,,,,,1,2013
LAOIS / OFFALY,CLONASLEE,1,,,,,,1,2013
LAOIS / OFFALY,DURROW,2,,,,,,2,2013
LAOIS / OFFALY,MOUNTMELLICK,5,1,,,,,6,2013
LAOIS / OFFALY,MOUNTRATH,2,1,,,,,3,2013
LAOIS / OFFALY,PORTARLINGTON,10,2,,,,,12,2013
LAOIS / OFFALY,PORTLAOISE,79,14,4,1,1,,99,2013
LAOIS / OFFALY,RATHDOWNEY,3,,,,,,3,2013
LAOIS / OFFALY,STRADBALLY,2,,,,,,2,2013
LAOIS / OFFALY,CLARA,4,1,,,,,5,2013
LAOIS / OFFALY,DAINGEAN,2,,,,,,2,2013
LAOIS / OFFALY,EDENDERRY,13,2,,,,,15,2013
LAOIS / OFFALY,RHODE,1,,,,,,1,2013
LAOIS / OFFALY,TULLAMORE,54,9,1,1,,,65,2013
LIMERICK,PALLASKENRY,1,,,,,,1,2013
LIMERICK,BALLYLANDERS,1,,,,,,1,2013
LIMERICK,BRUFF,21,4,,1,,,26,2013
LIMERICK,BRUREE,1,,,,,,1,2013
LIMERICK,CAPPAMORE,2,1,,,,,3,2013
LIMERICK,HOSPITAL,2,,,,,,2,2013
LIMERICK,KILMALLOCK,5,1,,,,,6,2013
LIMERICK,MURROE,3,,,,,,3,2013
LIMERICK,PALLAS,2,,,,,,2,2013
LIMERICK,ARDNACRUSHA,3,,,,,,3,2013
LIMERICK,CASTLECONNELL,5,1,,,,,6,2013
LIMERICK,HENRY STREET,207,31,4,2,1,,245,2013
LIMERICK,MARY STREET,1,,,,,,1,2013
LIMERICK,MAYORSTONE PARK,64,9,1,,,,74,2013
LIMERICK,ABBEYFEALE,8,2,,,,,10,2013
LIMERICK,ADARE,2,,,,,,2,2013
LIMERICK,ASKEATON,10,,,,,,10,2013
LIMERICK,ATHEA,1,,,,,,1,2013
LIMERICK,BALLINGARRY,1,,,,,,1,2013
LIMERICK,CROOM,3,,,,,,3,2013
LIMERICK,DRUMCOLLOGHER,2,,,,,,2,2013
LIMERICK,FOYNES,2,,,,,,2,2013
LIMERICK,NEWCASTLE WEST,33,5,,1,,,39,2013
LIMERICK,RATHKEALE,9,2,,,,,11,2013
LIMERICK,BALLYNEETY,2,,,,,,2,2013
LIMERICK,CAHERCONLISH,2,,,,,,2,2013
LIMERICK,PATRICKSWELL,2,,,,,,2,2013
LIMERICK,ROXBORO ROAD,109,17,2,,,,128,2013
LOUTH,ARDEE,20,5,1,1,,,27,2013
LOUTH,CASTLEBELLINGHAM,3,1,,,,,4,2013
LOUTH,COLLON,4,2,,,,,6,2013
LOUTH,LOUTH,1,,,,,,1,2013
LOUTH,CLOUGHERHEAD,3,1,,,,,4,2013
LOUTH,DROGHEDA,76,13,2,1,1,,93,2013
LOUTH,DUNLEER,5,,,,,,5,2013
LOUTH,BLACKROCK,3,1,,,,,4,2013
LOUTH,CARLINGFORD,5,1,,,,,6,2013
LOUTH,DRUMAD,6,1,,,,,7,2013
LOUTH,DUNDALK,98,18,3,1,,,120,2013
LOUTH,HACKBALLSCROSS,4,1,,,,,5,2013
LOUTH,OMEATH,4,,,,,,4,2013
MAYO,BALLINA,36,6,,1,,,43,2013
MAYO,BONNICONLON,1,,,,,,1,2013
MAYO,CROSSMOLINA,4,1,,,,,5,2013
MAYO,FOXFORD,2,,,,,,2,2013
MAYO,KILLALA,2,,,,,,2,2013
MAYO,BALLYCROY,1,,,,,,1,2013
MAYO,BANGOR ERRIS,3,,,,,,3,2013
MAYO,BEAL AN MHUIRTHEAD,22,3,,1,,,26,2013
MAYO,GLEANN NA MUAIDHE,1,,,,,,1,2013
MAYO,BALLA,2,,,,,,2,2013
MAYO,CASTLEBAR,60,15,2,1,1,,79,2013
MAYO,PARTRY,2,1,,,,,3,2013
MAYO,BALLINDINE,1,,,,,,1,2013
MAYO,BALLINROBE,9,2,,,,,11,2013
MAYO,BALLYHAUNIS,9,1,,,,,10,2013
MAYO,CHARLESTOWN,4,1,,,,,5,2013
MAYO,CLAREMORRIS,31,6,,1,,,38,2013
MAYO,CONG,1,,,,,,1,2013
MAYO,KILKELLY,6,,,,,,6,2013
MAYO,KILTIMAGH,,1,,,,,1,2013
MAYO,KNOCK,1,,,,,,1,2013
MAYO,SHRULE,1,,,,,,1,2013
MAYO,SWINFORD,24,2,,,,,26,2013
MAYO,ACHILL SOUND,2,1,,,,,3,2013
MAYO,KEEL,1,,,,,,1,2013
MAYO,LOUISBURGH,1,1,,,,,2,2013
MAYO,NEWPORT,2,,,,,,2,2013
MAYO,WESTPORT,25,4,,1,,,30,2013
MEATH,ASHBOURNE,36,5,1,1,,,43,2013
MEATH,DULEEK,4,1,,,,,5,2013
MEATH,DUNBOYNE,14,1,,,,,15,2013
MEATH,DUNSHAUGHLIN,17,3,,,,,20,2013
MEATH,LAYTOWN,18,4,,,,,22,2013
MEATH,BAILE ATHA BUI,4,,,,,,4,2013
MEATH,KELLS,36,6,,1,,,43,2013
MEATH,OLDCASTLE,3,,,,,,3,2013
MEATH,NAVAN,61,12,3,1,1,,78,2013
MEATH,NOBBER,3,1,,,,,4,2013
MEATH,SLANE,3,1,,,,,4,2013
MEATH,BALLIVOR,2,1,,,,,3,2013
MEATH,ENFIELD,4,1,,,,,5,2013
MEATH,LONGWOOD,1,,,,,,1,2013
MEATH,SUMMERHILL,2,1,,,,,3,2013
MEATH,TRIM,27,5,1,1,,,34,2013
ROSCOMMON / LONGFORD,BALLAGHADERREEN,7,1,,,,,8,2013
ROSCOMMON / LONGFORD,BALLINLOUGH,2,,,,,,2,2013
ROSCOMMON / LONGFORD,BOYLE,20,3,,,,,23,2013
ROSCOMMON / LONGFORD,CASTLEREA,25,8,1,1,,,35,2013
ROSCOMMON / LONGFORD,ELPHIN,1,,,,,,1,2013
ROSCOMMON / LONGFORD,FRENCHPARK,1,,,,,,1,2013
ROSCOMMON / LONGFORD,KEADUE,1,,,,,,1,2013
ROSCOMMON / LONGFORD,ROOSKY,3,1,,,,,4,2013
ROSCOMMON / LONGFORD,STROKESTOWN,4,2,,,,,6,2013
ROSCOMMON / LONGFORD,TULSK,1,,,,,,1,2013
ROSCOMMON / LONGFORD,DRUMLISH,2,,,,,,2,2013
ROSCOMMON / LONGFORD,EDGEWORTHSTOWN,8,1,,,,,9,2013
ROSCOMMON / LONGFORD,GRANARD,20,5,,1,,,26,2013
ROSCOMMON / LONGFORD,SMEAR,2,,,,,,2,2013
ROSCOMMON / LONGFORD,BALLYMAHON,5,1,,,,,6,2013
ROSCOMMON / LONGFORD,KENAGH,1,,,,,,1,2013
ROSCOMMON / LONGFORD,LANESBORO,6,2,,,,,8,2013
ROSCOMMON / LONGFORD,LONGFORD,53,10,,,,,63,2013
ROSCOMMON / LONGFORD,ATHLEAGUE,1,,,,,,1,2013
ROSCOMMON / LONGFORD,CLONARK,6,1,,,,,7,2013
ROSCOMMON / LONGFORD,ROSCOMMON,61,12,2,1,1,,77,2013
ROSCOMMON / LONGFORD,TAUGHMACONNELL,1,,,,,,1,2013
SLIGO / LEITRIM,BALLYMOTE,25,5,,1,,,31,2013
SLIGO / LEITRIM,ENNISCRONE,7,1,,,,,8,2013
SLIGO / LEITRIM,GURTEEN,1,1,,,,,2,2013
SLIGO / LEITRIM,RIVERSTOWN,2,1,,,,,3,2013
SLIGO / LEITRIM,TUBBERCURRY,5,1,,,,,6,2013
SLIGO / LEITRIM,BALLINAMORE,6,1,,,,,7,2013
SLIGO / LEITRIM,CARRICK-ON-SHANNON,40,7,1,1,,,49,2013
SLIGO / LEITRIM,CARRIGALLEN,2,,,,,,2,2013
SLIGO / LEITRIM,DRUMSHAMBO,6,2,,,,,8,2013
SLIGO / LEITRIM,KINLOUGH,4,1,,,,,5,2013
SLIGO / LEITRIM,MANORHAMILTON,20,4,,,,,24,2013
SLIGO / LEITRIM,MOHILL,5,1,,,,,6,2013
SLIGO / LEITRIM,COLLOONEY,4,1,,,,,5,2013
SLIGO / LEITRIM,GRANGE,5,,,,,,5,2013
SLIGO / LEITRIM,ROSSES POINT,1,1,,,,,2,2013
SLIGO / LEITRIM,SKREEN,1,,,,,,1,2013
SLIGO / LEITRIM,SLIGO,114,19,5,1,1,1,141,2013
TIPPERARY,ARDFINNAN,1,,,,,,1,2013
TIPPERARY,BALLYPOREEN,1,,,,,,1,2013
TIPPERARY,CAHIR,46,7,1,1,,,55,2013
TIPPERARY,CASHEL,10,3,,,,,13,2013
TIPPERARY,CLOGHEEN,1,,,,,,1,2013
TIPPERARY,CARRICK-ON-SUIR,15,2,,,,,17,2013
TIPPERARY,CLONMEL,43,8,1,1,,,53,2013
TIPPERARY,FETHARD,1,1,,,,,2,2013
TIPPERARY,KILSHEELAN,1,,,,,,1,2013
TIPPERARY,MULLINAHONE,1,,,,,,1,2013
TIPPERARY,BORRISOKANE,3,2,,,,,5,2013
TIPPERARY,CLOUGHJORDAN,1,,,,,,1,2013
TIPPERARY,LORRHA,1,,,,,,1,2013
TIPPERARY,MONEYGALL,1,,,,,,1,2013
TIPPERARY,NENAGH,33,5,1,1,,,40,2013
TIPPERARY,NEWPORT,10,1,,,,,11,2013
TIPPERARY,PORTROE,1,,,,,,1,2013
