Divisions,Station,Garda,Sergt,Insp,Superintendent,chief_superintendent,Assistant_Commissioner,Grand Total,Year
CAVAN / MONAGHAN,BAILIEBORO,26,8,1,1,,,36,2014
CAVAN / MONAGHAN,BALLYJAMESDUFF,2,1,,,,,3,2014
CAVAN / MONAGHAN,COOTEHILL,6,,,,,,6,2014
CAVAN / MONAGHAN,KINGSCOURT,2,1,,,,,3,2014
CAVAN / MONAGHAN,MULLAGH,1,,,,,,1,2014
CAVAN / MONAGHAN,SHERCOCK,1,,,,,,1,2014
CAVAN / MONAGHAN,VIRGINIA,10,1,,,,,11,2014
CAVAN / MONAGHAN,BALLYBAY,3,1,,,,,4,2014
CAVAN / MONAGHAN,CARRICKMACROSS,32,9,1,1,,,43,2014
CAVAN / MONAGHAN,CASTLEBLANEY,22,4,,,,,26,2014
CAVAN / MONAGHAN,ROCKCORRY,2,,,,,,2,2014
CAVAN / MONAGHAN,ARVA,2,1,,,,,3,2014
CAVAN / MONAGHAN,BALLINAGH,1,,,,,,1,2014
CAVAN / MONAGHAN,BALLYCONNELL,16,2,,,,,18,2014
CAVAN / MONAGHAN,BELTURBET,5,1,,,,,6,2014
CAVAN / MONAGHAN,BLACKLION,2,1,,,,,3,2014
CAVAN / MONAGHAN,CAVAN,49,8,1,1,,,59,2014
CAVAN / MONAGHAN,DOWRA,1,,,,,,1,2014
CAVAN / MONAGHAN,KILLESHANDRA,1,,,,,,1,2014
CAVAN / MONAGHAN,KILNALECK,2,1,,,,,3,2014
CAVAN / MONAGHAN,SWANLINBAR,1,,,,,,1,2014
CAVAN / MONAGHAN,CLONES,5,1,,,,,6,2014
CAVAN / MONAGHAN,EMYVALE,3,1,,,,,4,2014
CAVAN / MONAGHAN,MONAGHAN,58,15,3,2,1,,79,2014
CAVAN / MONAGHAN,SCOTSTOWN,1,1,,,,,2,2014
CLARE,CRUSHEEN,1,,,,,,1,2014
CLARE,ENNIS,94,14,2,1,1,,112,2014
CLARE,IMMIGRATION OFFICE,5,,,,,,5,2014
CLARE,KILLALOE,27,4,1,,,,32,2014
CLARE,LISSYCASEY,1,,,,,,1,2014
CLARE,NEWMARKET ON FERGUS,3,,,,,,3,2014
CLARE,SCARIFF,3,1,,,,,4,2014
CLARE,SHANNON,44,8,1,,,,53,2014
CLARE,SIXMILEBRIDGE,3,1,,,,,4,2014
CLARE,TULLA,2,,,,,,2,2014
CLARE,BALLYVAUGHAN,1,,,,,,1,2014
CLARE,COROFIN,1,,,,,,1,2014
CLARE,ENNISTYMON,23,3,,,,,26,2014
CLARE,KILDYSART,2,,,,,,2,2014
CLARE,KILKEE,2,,,,,,2,2014
CLARE,KILRUSH,28,6,1,1,,,36,2014
CLARE,LISDOONVARNA,1,,,,,,1,2014
CLARE,MILTOWN MALBAY,1,,,,,,1,2014
CORK CITY,ANGLESEA STREET,214,46,10,3,1,1,275,2014
CORK CITY,BLACKROCK,27,5,,,,,32,2014
CORK CITY,BRIDEWELL,22,7,,,,,29,2014
CORK CITY,BALLINCOLLIG,20,3,,,,,23,2014
CORK CITY,BLARNEY,16,2,,,,,18,2014
CORK CITY,CARRIG NA BHFEAR,1,,,,,,1,2014
CORK CITY,GURRANABRAHER,44,7,1,1,,,53,2014
CORK CITY,GLANMIRE,19,3,,,,,22,2014
CORK CITY,MAYFIELD,46,7,1,1,,,55,2014
CORK CITY,WATERCOURSE ROAD,35,7,,,,,42,2014
