Divisions,Station,Garda,Sergt,Insp,Superintendent,chief_superintendent,Assistant_Commissioner,Grand Total,Year
CAVAN / MONAGHAN,BAILIEBORO,27,8,1,1,,,37,2015
CAVAN / MONAGHAN,BALLYJAMESDUFF,3,1,,,,,4,2015
CAVAN / MONAGHAN,COOTEHILL,6,,,,,,6,2015
CAVAN / MONAGHAN,KINGSCOURT,2,1,,,,,3,2015
CAVAN / MONAGHAN,MULLAGH,1,,,,,,1,2015
CAVAN / MONAGHAN,SHERCOCK,1,,,,,,1,2015
CAVAN / MONAGHAN,VIRGINIA,10,1,,,,,11,2015
CAVAN / MONAGHAN,BALLYBAY,2,1,,,,,3,2015
CAVAN / MONAGHAN,CARRICKMACROSS,32,9,1,1,,,43,2015
CAVAN / MONAGHAN,CASTLEBLANEY,24,5,,,,,29,2015
CAVAN / MONAGHAN,ROCKCORRY,2,,,,,,2,2015
CAVAN / MONAGHAN,ARVA,2,1,,,,,3,2015
CAVAN / MONAGHAN,BALLINAGH,1,,,,,,1,2015
CAVAN / MONAGHAN,BALLYCONNELL,14,2,,,,,16,2015
CAVAN / MONAGHAN,BELTURBET,5,1,,,,,6,2015
CAVAN / MONAGHAN,BLACKLION,2,1,,,,,3,2015
CAVAN / MONAGHAN,CAVAN,51,7,1,1,,,60,2015
CAVAN / MONAGHAN,DOWRA,1,,,,,,1,2015
CAVAN / MONAGHAN,KILLESHANDRA,1,,,,,,1,2015
CAVAN / MONAGHAN,KILNALECK,2,1,,,,,3,2015
CAVAN / MONAGHAN,SWANLINBAR,1,,,,,,1,2015
CAVAN / MONAGHAN,CLONES,3,1,,,,,4,2015
CAVAN / MONAGHAN,EMYVALE,2,1,,,,,3,2015
CAVAN / MONAGHAN,MONAGHAN,57,13,2,2,,,74,2015
CAVAN / MONAGHAN,SCOTSTOWN,1,1,,,,,2,2015
CLARE,CRUSHEEN,1,,,,,,1,2015
CLARE,ENNIS,100,15,2,1,1,,119,2015
CLARE,IMMIGRATION OFFICE,6,,,,,,6,2015
CLARE,KILLALOE,24,4,1,,,,29,2015
CLARE,LISSYCASEY,1,,,,,,1,2015
CLARE,NEWMARKET ON FERGUS,3,,,,,,3,2015
CLARE,SCARIFF,3,1,,,,,4,2015
CLARE,SHANNON,44,8,1,,,,53,2015
CLARE,SIXMILEBRIDGE,3,1,,,,,4,2015
CLARE,TULLA,2,,,,,,2,2015
CLARE,BALLYVAUGHAN,1,,,,,,1,2015
CLARE,COROFIN,2,,,,,,2,2015
CLARE,ENNISTYMON,22,3,,,,,25,2015
CLARE,KILDYSART,2,,,,,,2,2015
CLARE,KILKEE,2,,,,,,2,2015
CLARE,KILRUSH,29,6,1,1,,,37,2015
CLARE,LISDOONVARNA,1,,,,,,1,2015
CORK CITY,ANGLESEA STREET,216,41,8,4,1,,270,2015
CORK CITY,BLACKROCK,22,3,,,,,25,2015
CORK CITY,BRIDEWELL,22,8,,,,,30,2015
CORK CITY,BALLINCOLLIG,18,3,,,,,21,2015
CORK CITY,BLARNEY,16,2,,,,,18,2015
CORK CITY,CARRIG NA BHFEAR,1,,,,,,1,2015
CORK CITY,GURRANABRAHER,45,7,1,1,,,54,2015
CORK CITY,GLANMIRE,16,3,,,,,19,2015
CORK CITY,MAYFIELD,42,7,1,1,,,51,2015
CORK CITY,WATERCOURSE ROAD,40,7,,,,,47,2015
CORK CITY,BISHOPSTOWN,18,3,,,,,21,2015
CORK CITY,CARRIGALINE,17,2,,,,,19,2015
CORK CITY,CROSSHAVEN,2,,,,,,2,2015
CORK CITY,DOUGLAS,17,4,,,,,21,2015
CORK CITY,PASSAGE WEST,1,1,,,,,2,2015
CORK CITY,TOGHER,41,7,1,1,,,50,2015
CORK NORTH,BALLYNOE,1,,,,,,1,2015
CORK NORTH,CASTLETOWNROCHE,2,,,,,,2,2015
CORK NORTH,FERMOY,40,11,2,1,1,,55,2015
CORK NORTH,KILDORRERY,1,,,,,,1,2015
CORK NORTH,KILWORTH,1,,,,,,1,2015
CORK NORTH,MITCHELSTOWN,18,3,,,,,21,2015
CORK NORTH,RATHCORMAC,2,,,,,,2,2015
CORK NORTH,WATERGRASSHILL,2,,,,,,2,2015
CORK NORTH,BUTTEVANT,1,,,,,,1,2015
CORK NORTH,CHARLEVILLE,17,2,,,,,19,2015
CORK NORTH,DONERAILE,1,,,,,,1,2015
CORK NORTH,GLANTAINE,1,,,,,,1,2015
CORK WEST,KANTURK,18,2,,,,,20,2015
CORK NORTH,LISCARROLL,1,,,,,,1,2015
CORK NORTH,MALLOW,42,9,1,1,,,53,2015
CORK NORTH,MILFORD,1,,,,,,1,2015
CORK NORTH,NEWMARKET,1,1,,,,,2,2015
CORK NORTH,BALLYCOTTON,1,,,,,,1,2015
CORK NORTH,CARRIGTWOHILL,1,1,,,,,2,2015
CORK NORTH,CLOYNE,1,,,,,,1,2015
CORK NORTH,COBH,29,5,,,,,34,2015
CORK NORTH,KILLEAGH,1,,,,,,1,2015
CORK NORTH,MIDLETON,40,8,2,1,,,51,2015
CORK NORTH,WHITEGATE,1,,,,,,1,2015
CORK NORTH,YOUGHAL,18,5,,,,,23,2015
CORK WEST,BALLINEEN,2,,,,,,2,2015
CORK WEST,BALLINHASSIG,2,,,,,,2,2015
CORK WEST,BANDON,65,12,3,1,1,,82,2015
CORK WEST,INNISHANNON,1,,,,,,1,2015
CORK WEST,KILBRITTAIN,1,,,,,,1,2015
CORK WEST,KINSALE,13,3,,,,,16,2015
CORK WEST,TIMOLEAGUE,1,,,,,,1,2015
CORK WEST,BANTRY,29,3,,1,,,33,2015
CORK WEST,CASTLETOWNBERE,4,1,,,,,5,2015
CORK WEST,DRIMOLEAGUE,1,,,,,,1,2015
CORK WEST,DURRUS,1,,,,,,1,2015
CORK WEST,GLENGARRIFF,1,,,,,,1,2015
CORK WEST,KEALKIL,1,,,,,,1,2015
CORK WEST,SCHULL,3,1,,,,,4,2015
CORK WEST,BALTIMORE,1,,,,,,1,2015
CORK WEST,CLONAKILTY,26,5,,1,,,32,2015
CORK WEST,DRINAGH,1,,,,,,1,2015
