id,geogid
20650,m6555b
20631,m6473d
20627,m6408d
20658,m6603f
20641,m6545e
20638,m6542m
20640,m6543k
20619,m6400k
20625,m6406h
20636,m6540d
20697,m6637m
20634,m6476k
20635,m6477g
20661,m6636b
20646,m6550a
20623,m6404a
20659,m6604d
20644,m6548l
20624,m6405l
20645,m6549h
209,m1720e
2031,m1700m
2028,m1701k
2012,m1721c
2030,m1702g
2010,m1710h
2014,m1723l
207,m1300e
2015,m1370f
2017,m1470b
208,m1301c
2016,m1372b
2018,m1471m
205,m1200k
206,m1201g
2036,m1070g
204,m1071e
201,m1000f
2072,m2200d
2021,m1502d
2027,m1571g
2023,m1530l
2022,m1503b
2076,m2204g
2029,m1572e
2074,m2202m
2024,m1531h
2026,m1570k
2019,m1500h
2073,m2201b
2025,m1532f
2035,m3902m
2033,m1830k
2034,m1831g
2032,m1800g
20365,m4474a
20338,m4303f
20337,M4302H
20349,m4376a
20370,m4501b
20357,m4404m
20335,m4300a
20343,m4370b
20371,m4502m
20351,m4378h
20352,m4400h
20363,m4472e
20366,m4475l
20350,m4377l
20359,m4406g
20358,m4405k
20348,m4375c
20347,m4374e
20336,m4301l
20345,m4372k
20341,m4307k
20340,m4305b
20361,m4470k
20374,m4505e
20354,m4401f
20344,m4371m
20355,m4402d
20362,m4471g
20368,m4477f
20342,m4308g
20333,m4205f
20314,m4102e
20321,m4171h
20307,m4072l
20318,m4106h
20322,m4172f
20329,m4201c
20306,m4070c
20323,m4173d
20312,m4100k
20325,m4175m
20315,m4103c
20330,m4202a
20316,m4104a
20326,m4176k
20320,m4170l
20328,m4200e
20324,m4174b
20317,m4105l
20313,m4101g
20311,m4078k
20331,m4203l
20332,m4204h
20288,m3900d
20304,m4022c
20293,m3931d
20303,m4021e
20290,m1870h
20295,m3933m
20296,m3934k
20294,m3932b
20308,m4074f
20302,m4020g
20298,m3980b
20297,m3935g
20292,m3930f
20300,m3982k
20469,m5171c
20470,m5806h
20448,m5031h
20447,m5030l
20468,m5170e
20460,m5077f
20461,m5078d
20462,m5130f
20455,m5070k
20473,m5175f
20449,m5032f
20474,m5176d
20450,m5033d
20464,m5133m
20452,m5035m
20454,m5037g
20466,m5135g
20677,m6802m
20682,m6870e
20676,m6801b
20670,m6771g
20690,m6900m
20689,m6877b
20691,m6901k
20618,m6377m
20669,m6770k
20671,m6772e
20675,m6800d
20663,m6701f
20688,m6876d
20617,m6376b
20667,m6705k
20693,m6903e
20680,m6805e
20683,m6871c
20662,m6700h
20684,m6872a
20674,m6775l
20666,m6704m
20685,m6873l
20692,m6902g
20687,m6875f
